reject_date,symbol,sector,close_at_reject,market_cap_cr,trade_quality,confidence,top_reasons,close_5d,return_5d_pct,close_10d,return_10d_pct,close_20d,return_20d_pct,measured_at,notes
2026-07-16,INDIAGLYCO.NS,DIVERSIFIED,1137.35,7628.0,73.5,33.27,REGIME_NO_BUY,1153.95,1.46,,,,,2026-07-21T19:22:13,
2026-07-16,IKIO.NS,DIVERSIFIED,215.66,1665.0,42.4,33.225,REGIME_NO_BUY,216.5,0.39,,,,,2026-07-21T19:22:14,
2026-07-16,IIFL.NS,FINANCE,567.1,24122.0,72.2,66.62,"CONF_FAIL(got 66.6, need 70) | RR_FAIL(got 1.52, need 1.7) | SECTOR_RANK_TOO_LOW(rank=14>top6)",571.8,0.83,,,,,2026-07-21T19:21:31,
2026-07-16,IFBIND.NS,DIVERSIFIED,1376.2,5580.0,65.0,56.37,REGIME_NO_BUY,1355.0,-1.54,,,,,2026-07-21T19:22:00,
2026-07-16,IBULLSLTD.NS,DIVERSIFIED,31.59,7319.0,41.7,59.81,REGIME_NO_BUY,28.96,-8.33,,,,,2026-07-21T19:21:49,
2026-07-16,HUHTAMAKI.NS,CONSUMER,232.69,1758.0,67.8,31.43,"CONF_FAIL(got 31.4, need 70) | TQ_FAIL(got 67.8, need 68) | RR_FAIL(got 1.39, need 1.7)",264.19,13.54,,,,,2026-07-21T19:21:41,
2026-07-16,HLEGLAS.NS,DIVERSIFIED,418.65,2897.0,66.3,50.74,REGIME_NO_BUY,437.9,4.6,,,,,2026-07-21T19:22:07,
2026-07-16,HIRECT.NS,CAPITAL_GOODS,1288.3,4436.0,68.3,43.88,"CONF_FAIL(got 43.9, need 70) | RR_FAIL(got 1.50, need 1.7) | SECTOR_RANK_TOO_LOW(rank=8>top6)",1308.6,1.58,,,,,2026-07-21T19:21:38,
2026-07-16,HIKAL.NS,DIVERSIFIED,240.8,2971.0,69.4,54.85,REGIME_NO_BUY,224.74,-6.67,,,,,2026-07-21T19:22:02,
2026-07-16,HFCL.NS,DIVERSIFIED,223.08,34198.0,68.0,20.18,ROE_TOO_LOW(7.0%<10%),217.97,-2.29,,,,,2026-07-21T19:22:19,
2026-07-16,HEXT.NS,DIVERSIFIED,564.4,34455.0,59.9,65.74,REGIME_NO_BUY,560.05,-0.77,,,,,2026-07-21T19:21:44,
2026-07-16,GROWW.NS,DIVERSIFIED,216.33,135677.0,73.0,15.030000000000001,REGIME_NO_BUY,206.36,-4.61,,,,,2026-07-21T19:22:24,
2026-07-16,GREAVESCOT.NS,DIVERSIFIED,257.68,6005.0,38.3,58.83500000000001,ROE_TOO_LOW(8.1%<10%),248.11,-3.71,,,,,2026-07-21T19:21:51,
2026-07-16,GRAVITA.NS,DIVERSIFIED,1840.2,13593.0,61.9,56.870000000000005,REGIME_NO_BUY,1804.5,-1.94,,,,,2026-07-21T19:21:59,
2026-07-16,GRANULES.NS,PHARMA,898.05,22257.0,64.9,54.085,REGIME_NO_BUY,875.7,-2.49,,,,,2026-07-21T19:22:04,
